"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"experiment1"
"04/06/2017 13:49:04:546 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"88","32","20","2.5","100","7","true","0.15","0.5","700","100","10191.9","1799.019318181818","155","0.06869210237085883"
"89","32","20","2.5","100","7","true","0.15","0.5","700","100","10194.5","943.771590909091","160","0.06867727567058453"
"90","32","20","2.5","100","7","true","0.15","0.5","700","100","10201","2185.0488636363634","146","0.06862072345848447"
"91","32","20","2.5","100","7","true","0.2","0.5","700","100","10156.899999999989","1730.6090909090908","136","0.06899610664826776"
"92","32","20","2.5","100","7","true","0.2","0.5","700","100","10110.899999999998","2080.3","134","0.06918978758735203"
"93","32","20","2.5","100","7","true","0.2","0.5","700","100","10158.700000000006","1315.2863636363636","144","0.06889560347627534"
"94","32","20","2.5","100","7","true","0.2","0.5","700","100","10113.900000000007","2115.890909090909","141","0.06930898937592211"
"95","32","20","2.5","100","7","true","0.2","0.5","700","100","10108.400000000007","1574.1454545454546","148","0.06906895054663138"
"96","32","20","2.5","100","7","true","0.2","0.5","700","100","10131.799999999994","1684.3727272727272","154","0.06913921675144447"
"97","32","20","2.5","100","7","true","0.2","0.5","700","100","10116.899999999992","1943.5863636363636","140","0.06919936336585701"
"98","32","20","2.5","100","7","true","0.2","0.5","700","100","10067.999999999987","1686.8","145","0.06965797932153127"
"100","32","20","2.5","100","7","true","0.2","0.5","700","100","10120.699999999999","1513.0772727272727","157","0.06921373200442967"
"99","32","20","2.5","100","7","true","0.2","0.5","700","100","10103.699999999993","2092.2","149","0.06939006136063995"
"101","32","20","2.5","100","7","true","0.25","0.5","700","100","9909.499999999985","1682.7170454545455","142","0.07061861910334521"
"102","32","20","2.5","100","7","true","0.25","0.5","700","100","9983.39999999999","1958.2431818181817","135","0.07029735782359384"
"103","32","20","2.5","100","7","true","0.25","0.5","700","100","9807.799999999983","1242.303409090909","151","0.07150591456064719"
"104","32","20","2.5","100","7","true","0.25","0.5","700","100","9993.7","1793.3886363636364","126","0.07004693144406758"
"106","32","20","2.5","100","7","true","0.25","0.5","700","100","9919.699999999983","1768.965909090909","158","0.07099391480730212"
"105","32","20","2.5","100","7","true","0.25","0.5","700","100","9913.89999999999","1871.634090909091","141","0.07092198581560279"
"107","32","20","2.5","100","7","true","0.25","0.5","700","100","9942.89999999999","2225.0511363636365","153","0.07047003513434602"
"108","32","20","2.5","100","7","true","0.25","0.5","700","100","9997.900000000003","1957.3443181818182","149","0.07021978793624037"
"109","32","20","2.5","100","7","true","0.25","0.5","700","100","9907.299999999988","1432.975","133","0.07066709739945064"
"110","32","20","2.5","100","7","true","0.25","0.5","700","100","9946.599999999993","1007.4954545454545","134","0.07041474283529993"
"111","32","20","2.5","100","7","true","0.3","0.5","700","100","9894.599999999973","1908.425","124","0.07106093983168711"
"112","32","20","2.5","100","7","true","0.3","0.5","700","100","9768.89999999998","1551.3386363636364","139","0.07196241505864925"
"113","32","20","2.5","100","7","true","0.3","0.5","700","100","9757.09999999998","1596.725","143","0.07180076313953977"
"114","32","20","2.5","100","7","true","0.3","0.5","700","100","9727.399999999994","1833.2568181818183","138","0.07200831181656381"
"115","32","20","2.5","100","7","true","0.3","0.5","700","100","9767.300000000014","1636.8227272727272","135","0.07165450246184386"
"116","32","20","2.5","100","7","true","0.3","0.5","700","100","9743.299999999967","1521.709090909091","126","0.07210993674928391"
"117","32","20","2.5","100","7","true","0.3","0.5","700","100","9712.399999999972","1871.2636363636364","132","0.07196833393306935"
"118","32","20","2.5","100","7","true","0.3","0.5","700","100","9758.69999999997","1917.7022727272727","121","0.07204240209952138"
"119","32","20","2.5","100","7","true","0.3","0.5","700","100","9752.00000000001","1692.2795454545455","125","0.0715665927145207"
"120","32","20","2.5","100","7","true","0.3","0.5","700","100","9788.799999999992","1829.15","146","0.07155196205701664"
"121","32","20","2.5","100","7","true","0.35","0.5","700","100","9465.699999999984","1454.7420454545454","149","0.07390046662866026"
"122","32","20","2.5","100","7","true","0.35","0.5","700","100","9650.999999999942","1659.6329545454546","129","0.0729265421359142"
"123","32","20","2.5","100","7","true","0.35","0.5","700","100","9497.299999999974","1480.9272727272728","123","0.07392075694855077"
"124","32","20","2.5","100","7","true","0.35","0.5","700","100","9580.49999999999","1747.5261363636364","137","0.0729060345366301"
"125","32","20","2.5","100","7","true","0.35","0.5","700","100","9605.4","2152.753409090909","126","0.0731001785732933"
"126","32","20","2.5","100","7","true","0.35","0.5","700","100","9578.000000000011","1494.5386363636364","118","0.0733268386704796"
"127","32","20","2.5","100","7","true","0.35","0.5","700","100","9583.699999999995","1725.4636363636364","140","0.07314295267650944"
"128","32","20","2.5","100","7","true","0.35","0.5","700","100","9593.799999999983","2154.6897727272726","135","0.07303763525004947"
"129","32","20","2.5","100","7","true","0.35","0.5","700","100","9490.400000000001","1962.896590909091","134","0.07363537864363598"
"130","32","20","2.5","100","7","true","0.35","0.5","700","100","9515.299999999981","1591.528409090909","110","0.0739441827055118"
"131","32","20","2.5","100","7","true","0.4","0.5","700","100","9538.9","1300.2681818181818","126","0.07363150586948271"
"132","32","20","2.5","100","7","true","0.4","0.5","700","100","9492.599999999957","1692.3727272727272","109","0.07407642570663611"
"133","32","20","2.5","100","7","true","0.4","0.5","700","100","9458.999999999993","1271.959090909091","126","0.07417375732465849"
"134","32","20","2.5","100","7","true","0.4","0.5","700","100","9430.800000000003","1763.9227272727273","122","0.07423983709658576"
"135","32","20","2.5","100","7","true","0.4","0.5","700","100","9553.399999999998","1250.2272727272727","130","0.0736539736318773"
"136","32","20","2.5","100","7","true","0.4","0.5","700","100","9407.999999999958","1420.5045454545455","115","0.07508312774857864"
"137","32","20","2.5","100","7","true","0.4","0.5","700","100","9393.199999999975","1850.4318181818182","133","0.07473442587946373"
"139","32","20","2.5","100","7","true","0.4","0.5","700","100","9446.79999999996","1144.8090909090909","137","0.07459028621358382"
"138","32","20","2.5","100","7","true","0.4","0.5","700","100","9446.099999999999","1648.509090909091","147","0.0741934116250476"
"140","32","20","2.5","100","7","true","0.4","0.5","700","100","9491.799999999987","1951.2636363636364","131","0.07383265301817316"
