"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"vary_Nlinks"
"05/12/2017 15:10:17:362 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"18","32","20","2.5","100","3","true","0.4","0.3","50","100","10073.999999999962","306.6045454545455","5","0.004986785019697806"
"19","32","20","2.5","100","3","true","0.4","0.3","50","100","9943.499999999976","300.81363636363636","4","0.0050387479719039355"
"21","32","20","2.5","100","4","true","0.4","0.3","50","100","9942.799999999981","310.1727272727273","7","0.005030585962652936"
"20","32","20","2.5","100","3","true","0.4","0.3","50","100","9912.099999999979","304.72727272727275","7","0.005060472648145333"
"22","32","20","2.5","100","4","true","0.4","0.3","50","100","9820.899999999985","300.6818181818182","6","0.005099699117752052"
"23","32","20","2.5","100","4","true","0.4","0.3","50","100","9932.699999999946","309.0090909090909","5","0.005059909326424857"
"24","32","20","2.5","100","4","true","0.4","0.3","50","100","9731.599999999977","307.1545454545454","4","0.005169027189083003"
"25","32","20","2.5","100","4","true","0.4","0.3","50","100","9945.699999999963","301.52272727272725","5","0.005062573407314411"
"26","32","20","2.5","100","4","true","0.4","0.3","50","100","9752.999999999969","302.3772727272727","8","0.005119331620063679"
"27","32","20","2.5","100","4","true","0.4","0.3","50","100","9934.799999999937","303.73636363636365","3","0.0050654968745884295"
"28","32","20","2.5","100","4","true","0.4","0.3","50","100","9868.699999999979","306.4909090909091","8","0.005072691671654802"
"29","32","20","2.5","100","4","true","0.4","0.3","50","100","9832.299999999974","299.0409090909091","7","0.00508176560864306"
"30","32","20","2.5","100","4","true","0.4","0.3","50","100","9575.800000000005","303.04545454545456","0","0.0052093643533615815"
"31","32","20","2.5","100","5","true","0.4","0.3","50","100","9785.100000000004","302.68636363636364","3","0.005150497538062168"
"32","32","20","2.5","100","5","true","0.4","0.3","50","100","9829.59999999995","314.29545454545456","7","0.0051274162949289815"
"33","32","20","2.5","100","5","true","0.4","0.3","50","100","9878.89999999995","304.2681818181818","5","0.005097567440817226"
"34","32","20","2.5","100","5","true","0.4","0.3","50","100","9499.2","291.8909090909091","10","0.0052541981042853085"
"35","32","20","2.5","100","5","true","0.4","0.3","50","100","9765.499999999955","302.65909090909093","6","0.005116188644107677"
"36","32","20","2.5","100","5","true","0.4","0.3","50","100","9740.400000000005","303.95454545454544","2","0.005149171498305917"
"37","32","20","2.5","100","5","true","0.4","0.3","50","100","9399.499999999936","306.4227272727273","4","0.005378888936701199"
"38","32","20","2.5","100","5","true","0.4","0.3","50","100","9912.79999999999","307.2409090909091","6","0.0050585271592322985"
"40","32","20","2.5","100","5","true","0.4","0.3","50","100","9880.499999999922","308.6272727272727","1","0.00510537493873549"
"39","32","20","2.5","100","5","true","0.4","0.3","50","100","9624.79999999996","301.90909090909093","6","0.005217899482384341"
"41","32","20","2.5","100","6","true","0.4","0.3","50","100","9416.299999999945","302.05","5","0.005383753983977939"
"42","32","20","2.5","100","6","true","0.4","0.3","50","100","9781.899999999978","307.8863636363636","11","0.005146998270608567"
"43","32","20","2.5","100","6","true","0.4","0.3","50","100","9533.09999999994","307.9590909090909","4","0.005282452748460138"
"44","32","20","2.5","100","6","true","0.4","0.3","50","100","9391.59999999997","299.95454545454544","2","0.005349424401934333"
"45","32","20","2.5","100","6","true","0.4","0.3","50","100","9812.499999999976","301.1545454545454","5","0.0051166598444535374"
"46","32","20","2.5","100","6","true","0.4","0.3","50","100","9672.6","304.3090909090909","7","0.005197181048999015"
"47","32","20","2.5","100","6","true","0.4","0.3","50","100","9579.599999999984","298.76363636363635","4","0.005220296512841904"
"48","32","20","2.5","100","6","true","0.4","0.3","50","100","9863.499999999924","307.9818181818182","6","0.00513141555229424"
"49","32","20","2.5","100","6","true","0.4","0.3","50","100","9461.799999999972","301.1090909090909","6","0.005247691015952957"
"50","32","20","2.5","100","6","true","0.4","0.3","50","100","9624.799999999934","305.75","8","0.005201614581165989"
"51","32","20","2.5","100","7","true","0.4","0.3","50","100","9413.699999999955","298.58181818181816","11","0.005356243773366607"
"52","32","20","2.5","100","7","true","0.4","0.3","50","100","9621.099999999979","297.8909090909091","4","0.005198045534878858"
"53","32","20","2.5","100","7","true","0.4","0.3","50","100","9421.39999999997","299.7409090909091","5","0.005353204428170706"
"55","32","20","2.5","100","7","true","0.4","0.3","50","100","9727.199999999979","301.25","5","0.005130783675898647"
"54","32","20","2.5","100","7","true","0.4","0.3","50","100","9357.19999999998","297.44545454545454","4","0.005331797775573945"
"56","32","20","2.5","100","7","true","0.4","0.3","50","100","9343.799999999956","300.6272727272727","1","0.005289549965088963"
"58","32","20","2.5","100","7","true","0.4","0.3","50","100","9549.299999999932","305.51363636363635","2","0.005299080079698163"
"59","32","20","2.5","100","7","true","0.4","0.3","50","100","9291.899999999961","298.2090909090909","7","0.005367744151842721"
"60","32","20","2.5","100","7","true","0.4","0.3","50","100","9616.000000000007","300.1818181818182","3","0.005212568545276374"
"57","32","20","2.5","100","7","true","0.4","0.3","50","100","9575.699999999937","307.22727272727275","4","0.005282062117050498"
