"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"vary_distance_btw_farmers"
"05/12/2017 15:12:24:357 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"35","32","12","2.5","100","4","true","0.4","0.3","50","100","9710.899999999943","300.3636363636364","1","0.005165075823313071"
"37","32","12","2.5","100","4","true","0.4","0.3","50","100","10013.399999999985","298.1181818181818","4","0.005008564645543881"
"38","32","12","2.5","100","4","true","0.4","0.3","50","100","9841.099999999975","300.7318181818182","4","0.005086728724757099"
"39","32","12","2.5","100","4","true","0.4","0.3","50","100","9880.299999999968","303.24545454545455","5","0.0050867804749018235"
"40","32","12","2.5","100","4","true","0.4","0.3","50","100","9839.499999999989","299.04545454545456","4","0.005111115654325018"
"41","32","14","2.5","100","4","true","0.4","0.3","50","100","10057.79999999999","302.6181818181818","8","0.004983554270906014"
"43","32","14","2.5","100","4","true","0.4","0.3","50","100","9969.199999999975","306.81363636363636","6","0.005038798750377901"
"42","32","14","2.5","100","4","true","0.4","0.3","50","100","9715.099999999955","303.2227272727273","4","0.0051386405212636875"
"44","32","14","2.5","100","4","true","0.4","0.3","50","100","9874.899999999958","305.24545454545455","3","0.005079081295775218"
"45","32","14","2.5","100","4","true","0.4","0.3","50","100","9975.099999999968","302.1909090909091","3","0.005031345281101259"
"46","32","14","2.5","100","4","true","0.4","0.3","50","100","9817.699999999992","303.6545454545454","5","0.005082953806115813"
"47","32","14","2.5","100","4","true","0.4","0.3","50","100","9958.699999999963","303.8181818181818","4","0.005046325265941335"
"48","32","14","2.5","100","4","true","0.4","0.3","50","100","9721.099999999948","302.1318181818182","3","0.005129888784011173"
"49","32","14","2.5","100","4","true","0.4","0.3","50","100","9903.199999999966","304.26363636363635","3","0.005051270394504226"
"50","32","14","2.5","100","4","true","0.4","0.3","50","100","9783.999999999936","302.42727272727274","4","0.005129888784011158"
"51","32","16","2.5","100","4","true","0.4","0.3","50","100","9807.299999999976","307.7318181818182","8","0.005119750975312555"
"52","32","16","2.5","100","4","true","0.4","0.3","50","100","9606.299999999925","301.8681818181818","2","0.0052134381581965565"
"53","32","16","2.5","100","4","true","0.4","0.3","50","100","9782.099999999986","300.23636363636365","8","0.005103603143819525"
"54","32","16","2.5","100","4","true","0.4","0.3","50","100","9951.299999999987","303.6409090909091","4","0.005042304938433458"
"55","32","16","2.5","100","4","true","0.4","0.3","50","100","9688.499999999962","304.8590909090909","4","0.005195021091785611"
